off_tech_id,off_tech,d3fend_id,def_tech,phase,tactic,shared_artifacts,shared_artifact_names,trust,proxy_quality,band
_meta,provenance,,"source=02-projects/d3fend-wall/data/matrix_long.csv+wall_columns.csv; upstream=build_wall_leaf.py (git-less, deterministic re-run reproduces 5616-row matrix_long / 120-col wall_columns byte-identical); matrix_long_sha256=35500f5917cfe4f52a6217f0563b423fff11ebf1e9f5dbcfc4c7cd4f8d1acda7; wall_columns_sha256=bd5ba6ae956b31d7d635707226fe20a836f1b3d2351446b3d18d1e444cf395bf",gen_date=2026-06-21,"SCOPE=6 detection techniques {T1071,T1048,T1110,T1490,T1003.001,T1530} UNION neighbors sharing >=1 d3fend_id; T1530 has no covered cells so it is absent (honest-degrade not-in-corpus)",5578,n_zero_defense=27;n_in_scope_off_tech=411,0.25,artifact_cooccurrence,_meta
T1037.004,RC Scripts,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1037.005,Startup Items,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1037,Boot or Logon Initialization Scripts,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1114.003,Email Forwarding Rule,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1114,Email Collection,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1134.005,SID-History Injection,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1134,Access Token Manipulation,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1137.001,Office Template Macros,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1137.002,Office Test,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1137.004,Outlook Home Page,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1137.005,Outlook Rules,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1137,Office Application Startup,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1218.002,Control Panel,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1218,System Binary Proxy Execution,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1222.001,Windows File and Directory Permissions Modification,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1222.002,Linux and Mac File and Directory Permissions Modification,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1222,File and Directory Permissions Modification,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1484.001,Group Policy Modification,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1484.002,Trust Modification,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1484,Domain or Tenant Policy Modification,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1490,Inhibit System Recovery,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1518.001,Security Software Discovery,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1518,Software Discovery,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1526,Cloud Service Discovery,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1538,Cloud Service Dashboard,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1546.001,Change Default File Association,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1546.002,Screensaver,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1546.007,Netsh Helper DLL,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1546.008,Accessibility Features,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1546.009,AppCert DLLs,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1546.010,AppInit DLLs,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1546.011,Application Shimming,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1546.014,Emond,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1546,Event Triggered Execution,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1547.001,Registry Run Keys / Startup Folder,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1547.002,Authentication Package,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1547.003,Time Providers,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1547.004,Winlogon Helper DLL,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1547.005,Security Support Provider,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1547.010,Port Monitors,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1547,Boot or Logon Autostart Execution,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1548.001,Setuid and Setgid,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1548.002,Bypass User Account Control,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1548.005,Temporary Elevated Cloud Access,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1548,Abuse Elevation Control Mechanism,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1552.005,Cloud Instance Metadata API,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1552.006,Group Policy Preferences,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1552,Unsecured Credentials,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1553.003,SIP and Trust Provider Hijacking,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1553,Subvert Trust Controls,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1556.002,Password Filter DLL,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1556.009,Conditional Access Policies,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1556,Modify Authentication Process,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1562.002,Disable Windows Event Logging,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1562.003,Impair Command History Logging,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1562.004,Disable or Modify System Firewall,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1562.007,Disable or Modify Cloud Firewall,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1562.008,Disable or Modify Cloud Logs,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1562.009,Safe Mode Boot,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1562,Impair Defenses,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1564.008,Email Hiding Rules,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1564,Hide Artifacts,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1574.011,Services Registry Permissions Weakness,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1574.012,COR_PROFILER,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1574,Hijack Execution Flow,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1578.002,Create Cloud Instance,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1578.003,Delete Cloud Instance,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1578.004,Revert Cloud Instance,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1578.005,Modify Cloud Compute Configurations,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1578,Modify Cloud Compute Infrastructure,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1614.001,System Language Discovery,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1614,System Location Discovery,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1615,Group Policy Discovery,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1666,Modify Cloud Resource Hierarchy,D3-CI,Configuration Inventory,prepare,Model,1,Configuration Resource,0.25,artifact_cooccurrence,prepare
T1003.002,Security Account Manager,D3-DI,Data Inventory,prepare,Model,1,Database,0.25,artifact_cooccurrence,prepare
T1003.004,LSA Secrets,D3-DI,Data Inventory,prepare,Model,1,Database,0.25,artifact_cooccurrence,prepare
T1003.008,/etc/passwd and /etc/shadow,D3-DI,Data Inventory,prepare,Model,1,Database,0.25,artifact_cooccurrence,prepare
T1003,OS Credential Dumping,D3-DI,Data Inventory,prepare,Model,1,Database,0.25,artifact_cooccurrence,prepare
T1012,Query Registry,D3-DI,Data Inventory,prepare,Model,1,Database,0.25,artifact_cooccurrence,prepare
T1033,System Owner/User Discovery,D3-DI,Data Inventory,prepare,Model,1,Database,0.25,artifact_cooccurrence,prepare
T1112,Modify Registry,D3-DI,Data Inventory,prepare,Model,1,Database,0.25,artifact_cooccurrence,prepare
T1114.001,Local Email Collection,D3-DI,Data Inventory,prepare,Model,1,Document File,0.25,artifact_cooccurrence,prepare
T1114,Email Collection,D3-DI,Data Inventory,prepare,Model,1,Document File,0.25,artifact_cooccurrence,prepare
T1137.003,Outlook Forms,D3-DI,Data Inventory,prepare,Model,1,Document File,0.25,artifact_cooccurrence,prepare
T1137.006,Add-ins,D3-DI,Data Inventory,prepare,Model,1,Database,0.25,artifact_cooccurrence,prepare
T1137,Office Application Startup,D3-DI,Data Inventory,prepare,Model,2,Database|Document File,0.25,artifact_cooccurrence,prepare
T1207,Rogue Domain Controller,D3-DI,Data Inventory,prepare,Model,1,Database,0.25,artifact_cooccurrence,prepare
T1213.003,Code Repositories,D3-DI,Data Inventory,prepare,Model,1,Database,0.25,artifact_cooccurrence,prepare
T1213,Data from Information Repositories,D3-DI,Data Inventory,prepare,Model,1,Database,0.25,artifact_cooccurrence,prepare
T1218.005,Mshta,D3-DI,Data Inventory,prepare,Model,1,Document File,0.25,artifact_cooccurrence,prepare
T1218.014,MMC,D3-DI,Data Inventory,prepare,Model,1,Database,0.25,artifact_cooccurrence,prepare
T1218,System Binary Proxy Execution,D3-DI,Data Inventory,prepare,Model,2,Database|Document File,0.25,artifact_cooccurrence,prepare
T1534,Internal Spearphishing,D3-DI,Data Inventory,prepare,Model,1,Document File,0.25,artifact_cooccurrence,prepare
T1543.003,Windows Service,D3-DI,Data Inventory,prepare,Model,1,Database,0.25,artifact_cooccurrence,prepare
T1543,Create or Modify System Process,D3-DI,Data Inventory,prepare,Model,1,Database,0.25,artifact_cooccurrence,prepare
T1546.012,Image File Execution Options Injection,D3-DI,Data Inventory,prepare,Model,1,Database,0.25,artifact_cooccurrence,prepare
T1546.015,Component Object Model Hijacking,D3-DI,Data Inventory,prepare,Model,1,Database,0.25,artifact_cooccurrence,prepare
T1546,Event Triggered Execution,D3-DI,Data Inventory,prepare,Model,1,Database,0.25,artifact_cooccurrence,prepare
T1548.004,Elevated Execution with Prompt,D3-DI,Data Inventory,prepare,Model,1,Database,0.25,artifact_cooccurrence,prepare
T1548,Abuse Elevation Control Mechanism,D3-DI,Data Inventory,prepare,Model,1,Database,0.25,artifact_cooccurrence,prepare
T1552.002,Credentials in Registry,D3-DI,Data Inventory,prepare,Model,1,Database,0.25,artifact_cooccurrence,prepare
T1552,Unsecured Credentials,D3-DI,Data Inventory,prepare,Model,1,Database,0.25,artifact_cooccurrence,prepare
T1555.001,Keychain,D3-DI,Data Inventory,prepare,Model,1,Database,0.25,artifact_cooccurrence,prepare
T1555.002,Securityd Memory,D3-DI,Data Inventory,prepare,Model,1,Database,0.25,artifact_cooccurrence,prepare
T1555.003,Credentials from Web Browsers,D3-DI,Data Inventory,prepare,Model,1,Database,0.25,artifact_cooccurrence,prepare
T1555.004,Windows Credential Manager,D3-DI,Data Inventory,prepare,Model,1,Database,0.25,artifact_cooccurrence,prepare
T1555.005,Password Managers,D3-DI,Data Inventory,prepare,Model,1,Database,0.25,artifact_cooccurrence,prepare
T1555.006,Cloud Secrets Management Stores,D3-DI,Data Inventory,prepare,Model,1,Database,0.25,artifact_cooccurrence,prepare
T1555,Credentials from Password Stores,D3-DI,Data Inventory,prepare,Model,1,Database,0.25,artifact_cooccurrence,prepare
T1564.003,Hidden Window,D3-DI,Data Inventory,prepare,Model,1,Database,0.25,artifact_cooccurrence,prepare
T1564.005,Hidden File System,D3-DI,Data Inventory,prepare,Model,1,Database,0.25,artifact_cooccurrence,prepare
T1564.007,VBA Stomping,D3-DI,Data Inventory,prepare,Model,1,Document File,0.25,artifact_cooccurrence,prepare
T1564,Hide Artifacts,D3-DI,Data Inventory,prepare,Model,2,Database|Document File,0.25,artifact_cooccurrence,prepare
T1566.001,Spearphishing Attachment,D3-DI,Data Inventory,prepare,Model,1,Document File,0.25,artifact_cooccurrence,prepare
T1566.002,Spearphishing Link,D3-DI,Data Inventory,prepare,Model,1,Document File,0.25,artifact_cooccurrence,prepare
T1566,Phishing,D3-DI,Data Inventory,prepare,Model,1,Document File,0.25,artifact_cooccurrence,prepare
T1614.001,System Language Discovery,D3-DI,Data Inventory,prepare,Model,1,Database,0.25,artifact_cooccurrence,prepare
T1614,System Location Discovery,D3-DI,Data Inventory,prepare,Model,1,Database,0.25,artifact_cooccurrence,prepare
T1056,Input Capture,D3-HCI,Hardware Component Inventory,prepare,Model,1,Hardware Device,0.25,artifact_cooccurrence,prepare
T1114.002,Remote Email Collection,D3-HCI,Hardware Component Inventory,prepare,Model,1,Hardware Device,0.25,artifact_cooccurrence,prepare
T1114,Email Collection,D3-HCI,Hardware Component Inventory,prepare,Model,1,Hardware Device,0.25,artifact_cooccurrence,prepare
T1195,Supply Chain Compromise,D3-HCI,Hardware Component Inventory,prepare,Model,1,Hardware Device,0.25,artifact_cooccurrence,prepare
T1505.002,Transport Agent,D3-HCI,Hardware Component Inventory,prepare,Model,1,Hardware Device,0.25,artifact_cooccurrence,prepare
T1505.003,Web Shell,D3-HCI,Hardware Component Inventory,prepare,Model,1,Hardware Device,0.25,artifact_cooccurrence,prepare
T1505,Server Software Component,D3-HCI,Hardware Component Inventory,prepare,Model,1,Hardware Device,0.25,artifact_cooccurrence,prepare
T1562.013,Disable or Modify Network Device Firewall,D3-HCI,Hardware Component Inventory,prepare,Model,1,Hardware Device,0.25,artifact_cooccurrence,prepare
T1562,Impair Defenses,D3-HCI,Hardware Component Inventory,prepare,Model,1,Hardware Device,0.25,artifact_cooccurrence,prepare
T1578.002,Create Cloud Instance,D3-HCI,Hardware Component Inventory,prepare,Model,1,Hardware Device,0.25,artifact_cooccurrence,prepare
T1578.003,Delete Cloud Instance,D3-HCI,Hardware Component Inventory,prepare,Model,1,Hardware Device,0.25,artifact_cooccurrence,prepare
T1578.004,Revert Cloud Instance,D3-HCI,Hardware Component Inventory,prepare,Model,1,Hardware Device,0.25,artifact_cooccurrence,prepare
T1578,Modify Cloud Compute Infrastructure,D3-HCI,Hardware Component Inventory,prepare,Model,1,Hardware Device,0.25,artifact_cooccurrence,prepare
T1619,Cloud Storage Object Discovery,D3-HCI,Hardware Component Inventory,prepare,Model,1,Hardware Device,0.25,artifact_cooccurrence,prepare
T1001.001,Junk Data,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1001.002,Steganography,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1001.003,Protocol or Service Impersonation,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1001,Data Obfuscation,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1003.006,DCSync,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1003,OS Credential Dumping,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1008,Fallback Channels,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1011.001,Exfiltration Over Bluetooth,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1011,Exfiltration Over Other Network Medium,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1018,Remote System Discovery,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1020.001,Traffic Duplication,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1020,Automated Exfiltration,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1021.001,Remote Desktop Protocol,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1021.002,SMB/Windows Admin Shares,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1021.003,Distributed Component Object Model,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1021.004,SSH,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1021.005,VNC,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1021.006,Windows Remote Management,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1021.007,Cloud Services,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1021.008,Direct Cloud VM Connections,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1021,Remote Services,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1029,Scheduled Transfer,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1030,Data Transfer Size Limits,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1041,Exfiltration Over C2 Channel,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1047,Windows Management Instrumentation,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1048.001,Exfiltration Over Symmetric Encrypted Non-C2 Protocol,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1048.003,Exfiltration Over Unencrypted Non-C2 Protocol,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1048,Exfiltration Over Alternative Protocol,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1071.001,Web Protocols,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1071.002,File Transfer Protocols,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1071.003,Mail Protocols,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1071.004,DNS,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1071.005,Publish/Subscribe Protocols,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1071,Application Layer Protocol,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1090.001,Internal Proxy,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1090.002,External Proxy,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1090.003,Multi-hop Proxy,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1090.004,Domain Fronting,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1090,Proxy,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1095,Non-Application Layer Protocol,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1098.001,Additional Cloud Credentials,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1098,Account Manipulation,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1102.001,Dead Drop Resolver,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1102.002,Bidirectional Communication,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1102.003,One-Way Communication,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1102,Web Service,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1104,Multi-Stage Channels,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1105,Ingress Tool Transfer,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1110.003,Password Spraying,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1110.004,Credential Stuffing,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1110,Brute Force,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1114.002,Remote Email Collection,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1114,Email Collection,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1132.001,Standard Encoding,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1132.002,Non-Standard Encoding,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1132,Data Encoding,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1185,Browser Session Hijacking,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1189,Drive-by Compromise,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1190,Exploit Public-Facing Application,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1197,BITS Jobs,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1199,Trusted Relationship,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1204.001,Malicious Link,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1204,User Execution,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1205.001,Port Knocking,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1205.002,Socket Filters,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1205,Traffic Signaling,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1207,Rogue Domain Controller,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1210,Exploitation of Remote Services,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1218.003,CMSTP,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1218,System Binary Proxy Execution,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1219.001,IDE Tunneling,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1219.002,Remote Desktop Software,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1219.003,Remote Access Hardware,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1219,Remote Access Tools,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1498.001,Direct Network Flood,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1498.002,Reflection Amplification,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1498,Network Denial of Service,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
T1499.002,Service Exhaustion Flood,D3-NNI,Network Node Inventory,prepare,Model,1,Network Node,0.25,artifact_cooccurrence,prepare
